Power,Velocity,beam D,layer thickness,Hatch spacing,defect_label,material
352.9557,1200.0,74.0,30.0,55.5,3,IN718
150.0,1000.0,100.0,70.0,500.0,1,IN718
250.0,1500.0,74.0,40.0,40.0,0,IN718
325.0,340.0,180.0,50.0,144.0,0,SS316L
180.0,400.0,100.0,50.0,112.5,2,SS316L
75.0,146.0,50.0,60.0,40.0,3,Ti-6Al-4V
242.4484,1400.0,74.0,20.0,52.0,3,IN718
320.0,280.0,95.0,50.0,85.5,0,SS316L
408.4096,300.0,59.0,0.06,0.0531,3,SS316L
100.0,146.0,50.0,60.0,40.0,3,Ti-6Al-4V
110.0,1000.0,100.0,70.0,500.0,1,IN718
225.0,800.0,80.0,40.0,64.0,0,IN718
75.0,1500.0,90.0,40.0,72.0,1,IN718
300.0,1900.0,70.0,20.0,49.0,3,SS316L
375.0,340.0,95.0,50.0,76.0,3,SS316L
150.0,96.77419355,248.0,50.0,500.0,1,SS316L
450.0,240.6417112,187.0,50.0,267.14,0,SS316L
450.0,1200.0,95.0,30.0,76.0,3,Ti-6Al-4V
450.0,1000.0,95.0,35.0,75.0,3,Ti-6Al-4V
150.0,1500.0,90.0,40.0,76.5,1,IN718
253.894,1200.0,74.0,22.0,56.0,3,Ti-6Al-4V
370.0,400.0,100.0,70.0,500.0,3,IN718
180.0,250.0,100.0,50.0,220.0,1,SS316L
132.8568,1400.0,74.0,20.0,29.0,3,IN718
282.508,700.0,74.0,40.0,60.0,3,IN718
310.0,160.0,100.0,50.0,300.0,0,SS316L
80.0,1600.0,39.0,30.0,30.3,1,Ti-6Al-4V
250.0,80.0,500.0,100.0,450.0,1,SS316L
300.0,700.0,95.0,0.04,0.0665,3,Ti-6Al-4V
325.0,1200.0,100.0,30.0,140.0,0,Ti-6Al-4V
253.894,900.0,74.0,30.0,52.0,3,Ti-6Al-4V
482.806,700.0,74.0,60.0,66.0,3,Ti-6Al-4V
100.0,2500.0,35.0,16.0,48.0,0,SS316L
230.0,400.0,95.0,40.0,76.0,3,Ti-6Al-4V
212.5,220.0,100.0,50.0,300.0,1,SS316L
