Power,Velocity,beam D,layer thickness,Hatch spacing,defect_label,material
280.0,1200.0,100.0,30.0,40.0,0,Ti-6Al-4V
250.0,3800.0,50.0,40.0,40.0,1,SS17-4PH
375.0,180.0,95.0,50.0,76.0,3,SS316L
150.0,1500.0,35.0,25.0,75.0,0,SS316L
425.578,600.0,74.0,60.0,66.6,3,Ti-6Al-4V
175.0,1250.0,20.0,35.0,0.036,0,Ti-6Al-4V
1800.0,1600.0,240.0,50.0,265.0,2,SS17-4PH
180.0,250.0,100.0,50.0,0.22,1,SS316L
320.0,280.0,95.0,50.0,85.5,0,SS316L
250.0,100.0,35.0,125.0,375.0,0,SS316L
300.0,2000.0,35.0,30.66666667,92.0,0,SS316L
310.0,340.0,100.0,50.0,280.0,1,SS316L
120.0,1200.0,50.0,45.0,40.0,1,SS17-4PH
120.0,1200.0,39.0,30.0,31.2,0,Ti-6Al-4V
1800.0,1000.0,240.0,50.0,216.0,2,SS17-4PH
212.5,340.0,100.0,50.0,190.0,1,SS316L
150.0,600.0,95.0,30.0,76.0,0,Ti-6Al-4V
375.0,220.0,320.0,50.0,256.0,0,SS316L
150.0,800.0,50.0,60.0,18.0,3,Ti-6Al-4V
220.0,3400.0,0.07,0.02,0.049,1,SS316L
900.0,1200.0,240.0,50.0,180.0,2,SS17-4PH
375.0,340.0,95.0,50.0,76.0,3,SS316L
50.0,1000.0,30.0,30.0,104.1666667,1,Ti-6Al-4V
1800.0,2200.0,240.0,50.0,204.5,2,SS17-4PH
375.0,100.0,100.0,50.0,70.0,3,SS316L
82.5,160.0,100.0,50.0,160.0,1,SS316L
250.0,5000.0,50.0,0.04,0.04,1,SS17-4PH
70.0,0.6,45.0,25.0,100.0,3,SS316L
350.0,112.9032258,248.0,50.0,198.4,0,SS316L
175.0,850.0,20.0,35.0,16.0,3,Ti-6Al-4V
425.578,800.0,74.0,0.05,0.0592,3,Ti-6Al-4V
1000.0,2300.0,50.0,60.0,45.0,3,SS17-4PH
200.0,1400.0,80.0,50.0,40.0,2,SS17-4PH
300.0,1937.984496,116.0,40.0,90.0,3,SS316L
2700.0,2400.0,240.0,50.0,120.0,3,SS17-4PH
130.0,2900.0,0.07,0.02,0.049,1,SS316L
150.0,800.0,50.0,60.0,20.0,3,Ti-6Al-4V
150.0,500.0,30.0,30.0,100.0,0,Ti-6Al-4V
280.0,800.0,100.0,30.0,140.0,0,Ti-6Al-4V
250.0,20.0,500.0,100.0,400.0,3,SS316L
300.0,800.0,50.0,50.0,90.0,2,SS316L
342.5,160.0,100.0,50.0,90.0,3,SS316L
130.0,400.0,90.0,28.2,72.0,3,SS17-4PH
100.0,800.0,50.0,60.0,13.0,3,Ti-6Al-4V
600.0,400.0,37.5,30.0,105.0,3,SS316L
375.0,370.0,200.0,50.0,170.0,0,SS316L
220.0,1200.0,100.0,20.0,115.0,2,SS17-4PH
280.0,1200.0,100.0,30.0,160.0,0,Ti-6Al-4V
245.0,250.0,100.0,50.0,300.0,1,SS316L
125.0,400.0,140.0,0.02,0.1,3,Ti-6Al-4V
350.0,1230.661041,116.0,40.0,90.0,3,SS316L
368.35,1200.0,74.0,0.03,0.055,3,Ti-6Al-4V
180.0,310.0,100.0,50.0,180.0,1,SS316L
125.0,800.0,50.0,60.0,17.36,3,Ti-6Al-4V
880.0,5800.0,50.0,25.0,35.0,3,SS17-4PH
450.0,700.0,95.0,50.0,76.0,3,Ti-6Al-4V
50.0,800.0,50.0,60.0,6.5,3,Ti-6Al-4V
300.0,1400.0,80.0,50.0,60.0,2,SS17-4PH
120.0,1000.0,39.0,30.0,33.0,0,Ti-6Al-4V
213.8344,500.0,59.0,50.0,47.2,3,SS316L
2700.0,2200.0,240.0,50.0,168.0,3,SS17-4PH
425.578,800.0,74.0,40.0,59.2,3,Ti-6Al-4V
2700.0,2600.0,240.0,50.0,0.13,3,SS17-4PH
280.0,1000.0,140.0,0.03,0.098,0,Ti-6Al-4V
100.0,1200.0,80.0,50.0,15.0,0,SS17-4PH
375.0,340.0,200.0,50.0,180.0,0,SS316L
370.0,1200.0,100.0,30.0,140.0,0,Ti-6Al-4V
2700.0,1400.0,240.0,50.0,0.2142857143,3,SS17-4PH
375.0,370.0,100.0,50.0,160.0,0,SS316L
1800.0,2000.0,240.0,50.0,0.21,2,SS17-4PH
500.0,4200.0,100.0,20.0,70.0,0,SS17-4PH
115.0,160.0,100.0,50.0,240.0,1,SS316L
200.0,1500.0,20.0,20.0,58.0,0,Ti-6Al-4V
220.0,1800.0,100.0,20.0,60.0,0,SS17-4PH
500.0,1900.0,50.0,36.5,40.0,3,SS17-4PH
80.0,1000.0,39.0,30.0,43.0,1,Ti-6Al-4V
300.0,3400.0,0.07,0.02,0.049,3,SS17-4PH
350.0,280.0,250.0,50.0,200.0,0,SS316L
520.0,1000.0,95.0,38.0,76.0,3,Ti-6Al-4V
200.0,1800.0,80.0,50.0,28.0,2,SS17-4PH
300.0,1200.0,80.0,50.0,70.0,2,SS17-4PH
500.0,2000.0,100.0,30.0,80.0,0,SS17-4PH
310.0,160.0,100.0,50.0,300.0,0,SS316L
195.0,800.0,100.0,20.0,0.09,0,SS17-4PH
310.0,370.0,100.0,50.0,270.0,1,SS316L
408.4096,300.0,59.0,0.06,0.0531,3,SS316L
300.0,500.0,35.0,61.0,183.0,0,SS316L
450.0,80.0,500.0,100.0,450.0,0,SS316L
50.0,500.0,30.0,30.0,101.010101,1,Ti-6Al-4V
220.0,1000.0,100.0,30.0,80.0,0,SS17-4PH
150.0,80.0,500.0,100.0,400.0,1,SS316L
280.0,1200.0,100.0,30.0,140.0,0,Ti-6Al-4V
195.0,1100.0,100.0,20.0,110.0,2,SS17-4PH
311.122,900.0,74.0,35.0,60.0,3,Ti-6Al-4V
220.0,900.0,100.0,20.0,150.0,2,SS17-4PH
310.0,280.0,100.0,50.0,0.16,0,SS316L
2700.0,1600.0,240.0,50.0,200.0,3,SS17-4PH
100.0,1000.0,35.0,25.0,75.0,0,SS316L
75.0,800.0,50.0,60.0,0.01,3,Ti-6Al-4V
196.666,1100.0,74.0,20.0,52.0,3,Ti-6Al-4V
245.0,340.0,100.0,50.0,240.0,1,SS316L
375.0,190.0,100.0,50.0,90.0,0,SS316L
147.5,220.0,100.0,50.0,220.0,1,SS316L
300.0,300.0,100.0,30.0,40.0,2,Ti-6Al-4V
82.21,700.0,74.0,20.0,40.0,3,Ti-6Al-4V
375.0,400.0,95.0,50.0,76.0,3,SS316L
408.4096,700.0,59.0,0.04,0.0472,3,SS316L
1800.0,2400.0,240.0,50.0,187.5,2,SS17-4PH
342.5,130.0,100.0,50.0,80.0,3,SS316L
900.0,800.0,240.0,50.0,264.7,2,SS17-4PH
600.0,800.0,37.5,30.0,105.0,3,SS316L
150.0,1000.0,35.0,30.66666667,92.0,0,SS316L
620.0,2200.0,50.0,40.0,40.0,3,SS17-4PH
139.438,1200.0,74.0,0.02,0.037,3,Ti-6Al-4V
125.0,455.0,50.0,60.0,30.0,3,Ti-6Al-4V
200.0,1600.0,90.0,30.0,90.0,1,SS316L
342.5,220.0,100.0,50.0,260.0,0,SS316L
250.0,1200.0,95.0,20.0,66.5,3,Ti-6Al-4V
280.0,1200.0,100.0,30.0,140.0,0,Ti-6Al-4V
